Alpha,Reynolds,Airfoil,Ci/Cd
-19.25,500000,naca0012,-9.6762
-19,500000,naca0012,-10.7181
-18.75,500000,naca0012,-11.8424
-18.5,500000,naca0012,-13.1114
-18.25,500000,naca0012,-14.5093
-18,500000,naca0012,-16.0773
-17.75,500000,naca0012,-17.8081
-17.5,500000,naca0012,-19.6884
-17.25,500000,naca0012,-21.6898
-17,500000,naca0012,-23.7331
-16.75,500000,naca0012,-25.9752
-16.5,500000,naca0012,-28.2103
-16.25,500000,naca0012,-30.3846
-16,500000,naca0012,-32.5
-15.75,500000,naca0012,-34.5525
-15.5,500000,naca0012,-36.5428
-15.25,500000,naca0012,-38.4725
-15,500000,naca0012,-40.3073
-14.75,500000,naca0012,-42.0172
-14.5,500000,naca0012,-43.6439
-14.25,500000,naca0012,-46.385
-14,500000,naca0012,-48.1886
-13.75,500000,naca0012,-49.5501
-13.5,500000,naca0012,-50.6887
-13.25,500000,naca0012,-51.7006
-13,500000,naca0012,-52.5564
-12.75,500000,naca0012,-53.4037
-12.5,500000,naca0012,-55.6049
-12.25,500000,naca0012,-56.5754
-12,500000,naca0012,-57.1718
-11.75,500000,naca0012,-57.6487
-11.5,500000,naca0012,-57.8678
-11.25,500000,naca0012,-59.6218
-11,500000,naca0012,-60.4368
-10.75,500000,naca0012,-60.7512
-10.5,500000,naca0012,-60.8492
-10.25,500000,naca0012,-61.0535
-10,500000,naca0012,-62.4376
-9.75,500000,naca0012,-62.6278
-9.5,500000,naca0012,-62.5683
-9.25,500000,naca0012,-62.1481
-9,500000,naca0012,-63.5264
-8.75,500000,naca0012,-63.4803
-8.5,500000,naca0012,-63.1992
-8.25,500000,naca0012,-63.2646
-8,500000,naca0012,-63.711
-7.75,500000,naca0012,-63.29
-7.5,500000,naca0012,-62.6007
-7.25,500000,naca0012,-63.1416
-7,500000,naca0012,-62.7181
-6.75,500000,naca0012,-61.8403
-6.5,500000,naca0012,-61.9002
-6.25,500000,naca0012,-61.2879
-6,500000,naca0012,-60.1827
-5.75,500000,naca0012,-59.9063
-5.5,500000,naca0012,-58.9273
-5.25,500000,naca0012,-57.629
-5,500000,naca0012,-56.2903
-4.75,500000,naca0012,-53.5332
-4.5,500000,naca0012,-51.0894
-4.25,500000,naca0012,-48.5551
-4,500000,naca0012,-45.7226
-3.75,500000,naca0012,-42.8131
-3.5,500000,naca0012,-39.9086
-3.25,500000,naca0012,-36.7672
-3,500000,naca0012,-33.8166
-2.75,500000,naca0012,-31.0371
-2.5,500000,naca0012,-28.2628
-2.25,500000,naca0012,-25.5176
-2,500000,naca0012,-22.8107
-1.75,500000,naca0012,-20.1542
-1.5,500000,naca0012,-17.4424
-1.25,500000,naca0012,-14.7447
-1,500000,naca0012,-12.3499
-0.75,500000,naca0012,-9.89
-0.5,500000,naca0012,-6.8466
-0.25,500000,naca0012,-3.5116
0,500000,naca0012,0
0.25,500000,naca0012,3.5116
0.5,500000,naca0012,6.8608
0.75,500000,naca0012,9.9037
1,500000,naca0012,12.3499
1.25,500000,naca0012,14.7572
1.5,500000,naca0012,17.4424
1.75,500000,naca0012,20.1542
2,500000,naca0012,22.8223
2.25,500000,naca0012,25.5176
2.5,500000,naca0012,28.2628
2.75,500000,naca0012,31.0371
3,500000,naca0012,33.8166
3.25,500000,naca0012,36.7672
3.5,500000,naca0012,39.9086
3.75,500000,naca0012,42.8131
4,500000,naca0012,45.7226
4.25,500000,naca0012,48.5456
4.5,500000,naca0012,51.0987
4.75,500000,naca0012,53.5332
5,500000,naca0012,56.2903
5.25,500000,naca0012,57.6115
5.5,500000,naca0012,58.9187
5.75,500000,naca0012,59.8978
6,500000,naca0012,60.1661
6.25,500000,naca0012,61.2715
6.5,500000,naca0012,61.8921
6.75,500000,naca0012,61.8324
7,500000,naca0012,62.7027
7.25,500000,naca0012,63.1264
7.5,500000,naca0012,62.5861
7.75,500000,naca0012,63.2828
8,500000,naca0012,63.704
8.25,500000,naca0012,63.2577
8.5,500000,naca0012,63.1925
8.75,500000,naca0012,63.4803
9,500000,naca0012,63.5264
9.25,500000,naca0012,62.1098
9.5,500000,naca0012,62.5683
9.75,500000,naca0012,62.6338
10,500000,naca0012,62.4434
10.25,500000,naca0012,61.0647
10.5,500000,naca0012,60.8932
10.75,500000,naca0012,60.7619
11,500000,naca0012,60.4472
11.25,500000,naca0012,59.6369
11.5,500000,naca0012,57.8823
11.75,500000,naca0012,57.6676
12,500000,naca0012,57.1902
12.25,500000,naca0012,56.5934
12.5,500000,naca0012,55.6266
12.75,500000,naca0012,53.4023
13,500000,naca0012,52.5845
13.25,500000,naca0012,51.732
13.5,500000,naca0012,50.7192
13.75,500000,naca0012,49.5833
14,500000,naca0012,48.2414
14.25,500000,naca0012,46.4067
14.5,500000,naca0012,43.6276
14.75,500000,naca0012,42.0828
15,500000,naca0012,40.3837
15.25,500000,naca0012,38.5356
15.5,500000,naca0012,36.6139
15.75,500000,naca0012,34.6317
16,500000,naca0012,32.5825
16.25,500000,naca0012,30.4594
16.5,500000,naca0012,28.2719
16.75,500000,naca0012,26.0305
17,500000,naca0012,23.7877
17.25,500000,naca0012,21.7404
17.5,500000,naca0012,19.7336
17.75,500000,naca0012,17.8475
18,500000,naca0012,16.1147
18.25,500000,naca0012,14.544
18.5,500000,naca0012,13.1451
18.75,500000,naca0012,11.877
-12.5,1000000,naca6412,-1.8785
-12.25,1000000,naca6412,-19.6855
-12,1000000,naca6412,-23.3653
-11.75,1000000,naca6412,-24.492
-11.5,1000000,naca6412,-24.8359
-11.25,1000000,naca6412,-24.9738
-11,1000000,naca6412,-25.1023
-10.75,1000000,naca6412,-25.1099
-10.5,1000000,naca6412,-25.0082
-10.25,1000000,naca6412,-24.7633
-10,1000000,naca6412,-24.2333
-9.75,1000000,naca6412,-23.6235
-9.5,1000000,naca6412,-24.2344
-9.25,1000000,naca6412,-23.7789
-9,1000000,naca6412,-22.7661
-8.75,1000000,naca6412,-21.5793
-8.5,1000000,naca6412,-20.255
-8.25,1000000,naca6412,-18.8498
-8,1000000,naca6412,-17.2122
-7.75,1000000,naca6412,-15.6229
-7.5,1000000,naca6412,-14.1435
-7.25,1000000,naca6412,-12.0018
-7,1000000,naca6412,-9.8017
-6.75,1000000,naca6412,-7.4178
-6.5,1000000,naca6412,-4.8571
-6.25,1000000,naca6412,-2.407
-6,1000000,naca6412,0.4
-5.75,1000000,naca6412,3.3476
-5.5,1000000,naca6412,6.3806
-5.25,1000000,naca6412,9.605
-5,1000000,naca6412,12.8375
-4.75,1000000,naca6412,16.338
-4.5,1000000,naca6412,19.7506
-4.25,1000000,naca6412,23.3857
-4,1000000,naca6412,26.9438
-3.75,1000000,naca6412,30.6815
-3.5,1000000,naca6412,34.3179
-3.25,1000000,naca6412,38.1519
-3,1000000,naca6412,41.8495
-2.75,1000000,naca6412,45.6628
-2.5,1000000,naca6412,49.379
-2.25,1000000,naca6412,53.0429
-2,1000000,naca6412,56.7363
-1.75,1000000,naca6412,60.3534
-1.5,1000000,naca6412,63.8401
-1.25,1000000,naca6412,67.4901
-1,1000000,naca6412,70.853
-0.75,1000000,naca6412,73.8642
-0.5,1000000,naca6412,77.3107
-0.25,1000000,naca6412,80.5078
0,1000000,naca6412,83.2859
0.25,1000000,naca6412,86.4903
0.5,1000000,naca6412,89.4602
0.75,1000000,naca6412,92.4328
1,1000000,naca6412,95.4917
1.25,1000000,naca6412,98.4968
1.5,1000000,naca6412,102.9806
1.75,1000000,naca6412,112.4622
2,1000000,naca6412,128.4438
2.25,1000000,naca6412,130.0425
2.5,1000000,naca6412,130.5533
2.75,1000000,naca6412,132.8591
3,1000000,naca6412,133.906
3.25,1000000,naca6412,134.4809
